"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"JP","4",1.2,36235.2853622739,43422.1969431205
"TA","4",1.2,25327.8327581134,29138.0957812931
"BS","4",1.2,45468.8450021299,49413.8678008476
"Other","4",1.2,19520.280997208,19539.9606597876
"All","4",1.4,137004.14756278,152554.825603379
"JP","4",1.4,36287.1870459662,43687.8305193348
"TA","4",1.4,25474.4467060229,29353.498577415
"BS","4",1.4,45486.1374922401,49689.5655393451
"Other","4",1.4,19574.8216814456,19647.127442634
"All","4",1.6,137375.128187008,153254.69777231
"JP","4",1.6,36332.4803603072,43943.7425553802
"TA","4",1.6,25634.0969338478,29567.4363580021
"BS","4",1.6,45497.3893874297,49982.0434126712
"Other","4",1.6,19626.9196645711,19752.6770286324
"All","4",1.8,137733.430062455,153956.104800605
"JP","4",1.8,36377.2223175109,44187.6521098937
"TA","4",1.8,25808.7009931136,29778.4019819581
"BS","4",1.8,45509.1919395803,50291.3284452497
"Other","4",1.8,19678.0319495154,19856.5225654764
"All","4",2,138088.580020466,154657.009126454
"JP","4",2,36428.8556670622,44418.2308466086
"TA","4",2,25999.8468600927,29985.2878306035
"BS","4",2,45529.305149594,50616.9651637418
"Other","4",2,19730.0092927478,19958.8494414005
"All","4.5",0,134924.403220535,148154.463436283
"JP","4.5",0,35989.9467845302,41946.6220313312
"TA","4.5",0,24858.1395678942,28035.3707088119
"BS","4.5",0,45344.9170615594,48250.741430185
"Other","4.5",0,19229.4493825171,18999.6095448283
"All","4.5",0.2,135306.560507563,148730.22460453
"JP","4.5",0.2,36067.5092621479,42173.3666408618
"TA","4.5",0.2,24939.5006754116,28209.6525061236
"BS","4.5",0.2,45415.352839938,48416.8630124573
"Other","4.5",0.2,19292.6681178951,19095.3963614359
"All","4.5",0.4,135722.248524265,149335.676305464
"JP","4.5",0.4,36155.3411004535,42415.7583614326
"TA","4.5",0.4,25036.2480330347,28395.5636665613
"BS","4.5",0.4,45488.9519821355,48603.0370612632
"Other","4.5",0.4,19356.9076029643,19195.5856437206
"All","4.5",0.6,136161.076050344,149963.588275734
"JP","4.5",0.6,36249.6878408157,42669.1276251457
"TA","4.5",0.6,25147.2710623548,28590.4583960603
"BS","4.5",0.6,45561.5687041728,48806.6094921938
"Other","4.5",0.6,19420.8136931164,19298.7699593327
"All","4.5",0.8,136609.390769634,150607.051292045
"JP","4.5",0.8,36345.1612214627,42928.5339298075
"TA","4.5",0.8,25270.5566538664,28791.6163262581
"BS","4.5",0.8,45628.3632336882,49025.2064266572
"Other","4.5",0.8,19482.9550447259,19403.3965526583
"All","4.5",1,137051.857444685,151260.026149163
"JP","4.5",1,36435.5855918774,43189.088325238
"TA","4.5",1,25403.5487116999,28996.3594517038
"BS","4.5",1,45684.7955167372,49257.0819585577
"Other","4.5",1,19541.9671702294,19507.9531170733
"All","4.5",1.2,137474.308076864,151917.734937345
"JP","4.5",1.2,36515.631261441,43446.3415984634
"TA","4.5",1.2,25543.8938598272,29202.1877703712
"BS","4.5",1.2,45727.8891616464,49501.2540501595
"Other","4.5",1.2,19596.8507679043,19611.1836511088
"All","4.5",1.4,137867.058581429,152576.729673511
"JP","4.5",1.4,36582.6873035753,43696.5925954464
"TA","4.5",1.4,25690.2837808168,29406.9493246859
"BS","4.5",1.4,45757.2577822732,49757.3905056361
"Other","4.5",1.4,19647.3057635392,19712.2383763966
"All","4.5",1.6,138227.160766714,153234.666212946
